	0	1
0	чувака надо было отвести в апи, он был бы как дома со всеми остальными придурками	 уважаема надо было перевести в апик, он был бы как дома со всеми остальными людьми. извини
1	Если кто-нибудь из плачущих младенцев, которые не уважают демократию, придет, это будет глупая утечка	 Кто-либо из кричащих младенцев, которые не уважают демократию, придет, это будет неразумный поступок.
2	привет, ты сексуальная маленькая любовница!. .	 здравствуйте, вы сексуальная маленькая любовница!...
3	ни чего не изменится из этой хрени.	 ничего не изменится из этой хрени. попробуйт
4	голосование за нее, если экзаменатор и сука истеблишмента не любит ее	 голосование за нее, если экзаменатор и недальновидно ее не любит.
5	мусор, создаваемый CNN и другими информационными агентствами, возмутителен.	 уважаемый, создавайте, пожалуйста, каналы, чтобы россияне поняли через сколько секун
6	Если бы он был таким плохим водителем и попадал в глупые ситуации, я бы его не выручил.	 Чтобы он был таким плохим водителем и попадал в глупые ситуации, я бы его не выручал.
7	он работает с Россией, чтобы уничтожить Америку и клоунов, которых вы слишком невежественны, чтобы заметить.	 работает с Россией, для уничтожения американцев и их стран. Чтобы уничтожить Америку и их людей. Чтобы уничтожить люд
8	к черту те молодые матери, которые водят своих детей в детский сад по сугробам.	 чертовы молодые матери, которые водят своих детей в детский сад.
9	почему канадцы так увлечены хоккеем, когда все их команды проигрывают?	 почему канадцы так увлечены хоккеем, когда все их команды проигрывают?
10	Канада была бы очень рада быть родственной душой Мексики, если бы Мексика перестала быть такой неразберихой.	 Канада, была бы очень рада стать родственницей Мексики, если бы Европа прекратила свое развитие.
11	я не голосовал за лжеца	 я не голосовал за лжеца. но види
12	они думают, что мы действительно глупы или просто слишком ленивы, чтобы их остановить?. .	 думают что мы действительно недалекие или просто слишком ленивые для них?.........................
13	лучше, чем любой из бездельников, которые сейчас защищают это дерьмовое шоу.	 лучше, чем любой из бездельников, которые сейчас защищают это шоу.
14	свободному миру не нужна ваша глупость.	 свободным мира не нужна ваша глупость.
15	видите, насколько нелепыми становятся эти дела?	 видели вы как нелепо выглядят эти вещи? видели вы как не
16	Ты вообще эту статью читал, или ты просто еще один из марионеток гупты?	 Вы вообще эту статью читали? или вы только один из них? Можете сами в Диксон вра
