	0
0	чувака надо было отвести в апи, он был бы как дома со всеми остальными придурками
1	Если кто-нибудь из плачущих младенцев, которые не уважают демократию, придет, это будет глупая утечка
2	привет, ты сексуальная маленькая любовница!. .
3	ни чего не изменится из этой хрени.
4	голосование за нее, если экзаменатор и сука истеблишмента не любит ее
5	мусор, создаваемый CNN и другими информационными агентствами, возмутителен.
6	Если бы он был таким плохим водителем и попадал в глупые ситуации, я бы его не выручил.
7	он работает с Россией, чтобы уничтожить Америку и клоунов, которых вы слишком невежественны, чтобы заметить.
8	к черту те молодые матери, которые водят своих детей в детский сад по сугробам.
9	почему канадцы так увлечены хоккеем, когда все их команды проигрывают?
10	Канада была бы очень рада быть родственной душой Мексики, если бы Мексика перестала быть такой неразберихой.
11	я не голосовал за лжеца
12	они думают, что мы действительно глупы или просто слишком ленивы, чтобы их остановить?. .
13	лучше, чем любой из бездельников, которые сейчас защищают это дерьмовое шоу.
14	свободному миру не нужна ваша глупость.
15	видите, насколько нелепыми становятся эти дела?
16	Ты вообще эту статью читал, или ты просто еще один из марионеток гупты?
17	он морально банкрот, интеллектуально ленив и сверхъестественно жаден, он ушел до того, как его подвергли импичменту.
18	для этих двух толстых, тупых и глупых - не путь по жизни.
19	Я уверен, что некоторые из них имеют политическую предвзятость, некоторые прикрывают задницу и делают вид, что ничего плохого нет.
20	это свободная страна, которая защищает права на внесение поправок от таких маленьких коммуняков, как вы.
21	Спасибо за то, что нашли время проявить себя, несмотря на все свое захватывающее невежество.
22	удали страницу и заткнись
23	Я считаю, что Клаф часто бывает неуважительным придурком.
24	Льюис теперь носит маленькую шляпу на своей толстой голове.
25	это чистая и полнейшая хрень!
26	иди в поход, дебил.
27	до тех пор не стесняйтесь разыгрывать свои идиотские трюки
28	этому парню нужно скорее переспать.
29	действительно тупой электорат прямо здесь, как еще объяснить Джастина Трюдо как премьер-министра?
30	и либеральной тряпке должно быть стыдно публиковать эту хрень.
31	вот что происходит, когда дураки посылают мальчика выполнять мужскую работу.
32	если бы вы это сделали, вы бы не публиковали такой мусор.
33	Меня поражает утверждение, что американские избиратели просто глупы.
34	у них даже не хватило смелости опубликовать свой черный список.
35	конечно, я чувствую себя лучше, не сталкиваясь с грязью, чепухой и чепухой.
36	тогда вы заплатите за то, чтобы узнать, насколько на самом деле испорчено общество, не говоря уже о коррумпированности.
37	Обама потерпел полное поражение и теперь выглядит обидным неудачником.
38	честно говоря, ты идиот, если думаешь, что он когда-нибудь снова увидит свет как свободный человек.
39	сколько негров нужно, чтобы поменять лампочку?
40	это какая-то тупая и лицемерная фигня.
41	эти репубиканцы подобны пиратам-людоедам.
42	Льюис теперь носит маленькую шляпу на своей толстой голове.
43	тот факт, что мы все собираемся заплатить за эту гигантскую придурку из либеральной партии, меня просто тошнит.
44	бедные люди - отвратительные дураки, которые никогда не заслуживают никакой медицинской помощи, верно?
45	это достаточно плохо, что этот дурак hholt1 делает это.
46	президент - клоун.
47	и я сомневаюсь, что жалкий китайский флот мог бы даже победить канадский флот.
48	в ответ на ваш последний абзац чушь.
49	(и, дураки голосовали за него.
50	пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки, чтобы повеситься.
51	может вернуться в тюремное куриное дерьмо.
52	показывает, насколько испорчена католическая церковь.
53	Прискорбные drumpfs считают, что любой, кто не является белым, определенно незаконен.
54	как я уже говорил, ты идиот.
55	скажи им всем запастись им в заднице.
56	этот парень туп как пост.
57	Что за нелепая, жестокая бюрократическая шутка.
58	честно говоря, ты идиот, если думаешь, что он когда-нибудь снова увидит свет как свободный человек.
59	пусть он будет продолжать в том же духе, пока у него не наберется достаточно веревки, чтобы повеситься.
60	это часть мусульман, которые являются радикальными мусульманскими террористами-экстремистами.
61	иди в поход, дебил.
62	недобрый, недоброжелательный, подлый, недалекий, некомпетентный.
63	Давайте сначала импортируем сирийских насильников в Германию.
64	верни сюда свою ленивую коммунистическую задницу!
65	Ты чертовски хорошо знаешь, что я не делал дерьмо.
66	партийным избирателям нравятся невежественные марионетки, и знаете что?
