АДСОРБИРОВАТЬ	115222-V	ПОГЛОТИТЬ (ВОБРАТЬ)
АДСОРБИРОВАТЬ	111097-V	ИЗМЕНЕНИЕ АГРЕГАТНОГО СОСТОЯНИЯ
АДСОРБИРОВАТЬ	116549-V	КОПИТЬ, НАКАПЛИВАТЬ
АДСОРБИРОВАТЬ	106950-V	ПРЕВРАТИТЬ (ПРИДАТЬ ИНОЙ ВИД, КАЧЕСТВО)
АДСОРБИРОВАТЬ	117105-V	УВЛЕЧЬ (ЗАИНТЕРЕСОВАТЬ)
АДСОРБИРОВАТЬ	115221-V	ВОБРАТЬ В СЕБЯ
АДСОРБИРОВАТЬ	106477-V	ПОЯВИТЬСЯ, ВОЗНИКНУТЬ, НАЧАТЬСЯ
АДСОРБИРОВАТЬ	123449-V	РАЗВЕСТИ ЖИДКОСТЬЮ
АДСОРБИРОВАТЬ	115221-V	ВОБРАТЬ В СЕБЯ
АДСОРБИРОВАТЬ	115965-V	ВПИТАТЬСЯ
АКАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
АКАТЬ	106878-V	ОДОБРИТЬ
АКАТЬ	153392-V	ПОВТОРИТЬ СКАЗАННОЕ
АКАТЬ	111001-V	ВИДНЕТЬСЯ
АКАТЬ	118992-V	ХУДЕТЬ, ПОХУДЕТЬ
АКАТЬ	106793-V	ИСПУГ
АКАТЬ	118531-V	ЦЕПЕНЕТЬ, СТОЛБЕНЕТЬ
АКАТЬ	111050-V	ГНУТЬ, ИЗОГНУТЬ
АКАТЬ	116661-V	ВДАВИТЬ ВНУТРЬ
АКАТЬ	116668-V	КАШЕЛЬ
АКТИРОВАТЬ	149274-V	ОЦЕНКА КАЧЕСТВА
АКТИРОВАТЬ	151609-V	БРАКОВАТЬ, ПРИЗНАТЬ НЕГОДНЫМ
АКТИРОВАТЬ	111880-V	ЗАПЕЧАТАТЬ, НАЛОЖИТЬ ПЕЧАТЬ
АКТИРОВАТЬ	106817-V	ПРИНУДИТЬ, ЗАСТАВИТЬ
АКТИРОВАТЬ	108870-V	УДАЛИТЬ, ОТДАЛИТЬ НА РАССТОЯНИЕ
АКТИРОВАТЬ	106640-V	УВЕЛИЧИТЬ
АКТИРОВАТЬ	106938-V	ПЕРЕМЕСТИТЬ
АКТИРОВАТЬ	107003-V	ПИСАТЬ, ИЗОБРАЖАТЬ ГРАФИЧЕСКИЕ ЗНАКИ
АКТИРОВАТЬ	111983-V	ДОБАВИТЬ
АКТИРОВАТЬ	115033-V	ОЦЕНИТЬ, ДАТЬ ОЦЕНКУ
АЛЕТЬ	118992-V	ХУДЕТЬ, ПОХУДЕТЬ
АЛЕТЬ	106793-V	ИСПУГ
АЛЕТЬ	118531-V	ЦЕПЕНЕТЬ, СТОЛБЕНЕТЬ
АЛЕТЬ	111050-V	ГНУТЬ, ИЗОГНУТЬ
АЛЕТЬ	116661-V	ВДАВИТЬ ВНУТРЬ
АЛЕТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
АЛЕТЬ	111001-V	ВИДНЕТЬСЯ
АЛЕТЬ	115102-V	МУЧИТЬ
АЛЕТЬ	124267-V	УКУСИТЬ, ПОКУСАТЬ
АЛЕТЬ	120955-V	ИЗМЕНЕНИЕ СОСТОЯНИЯ
АННИГИЛИРОВАТЬ	133878-V	УНИЧТОЖИТЬСЯ
АННИГИЛИРОВАТЬ	112155-V	ИСЧЕЗНУТЬ (ПЕРЕСТАТЬ СУЩЕСТВОВАТЬ)
АННИГИЛИРОВАТЬ	106483-V	УНИЧТОЖИТЬ, ПРЕКРАТИТЬ СУЩЕСТВОВАНИЕ
АННИГИЛИРОВАТЬ	106548-V	ПРИЧИНЕНИЕ ВРЕДА
АННИГИЛИРОВАТЬ	111943-V	ОГРАНИЧИТЬ
АННИГИЛИРОВАТЬ	111493-V	ОСЛАБИТЬ (УМЕНЬШИТЬ СИЛУ)
АННИГИЛИРОВАТЬ	128431-V	ОБЕЗВРЕДИТЬ
АННИГИЛИРОВАТЬ	3758-V	ВЗРЫВ
АННИГИЛИРОВАТЬ	111022-V	БРОСИТЬ (ПЕРЕМЕСТИТЬ)
АННИГИЛИРОВАТЬ	111656-V	РОНЯТЬ (ДАТЬ УПАСТЬ)
АННОТИРОВАТЬ	107009-V	ПИСАТЬ, СОЧИНЯТЬ ТЕКСТ
АННОТИРОВАТЬ	123430-V	КРИТИКОВАТЬ (ОБСУЖДАТЬ, РАЗБИРАТЬ С ЦЕЛЬЮ ОЦЕНИТЬ)
АННОТИРОВАТЬ	138362-V	УПОРЯДОЧИТЬ (ПРИВЕСТИ В ПОРЯДОК)
АННОТИРОВАТЬ	107533-V	ОБЪЕДИНИТЬ В ЕДИНОЕ ЦЕЛОЕ
АННОТИРОВАТЬ	106607-V	УПРАВЛЯТЬ, РУКОВОДИТЬ
АННОТИРОВАТЬ	107668-V	СОЧИНИТЬ ПРОИЗВЕДЕНИЕ
АННОТИРОВАТЬ	107129-V	СИСТЕМАТИЗИРОВАТЬ
АННОТИРОВАТЬ	118456-V	ПОДРАЗДЕЛИТЬ
АННОТИРОВАТЬ	106710-V	ОПРЕДЕЛИТЬ, ВЫЯСНИТЬ
АННОТИРОВАТЬ	106695-V	ПРОВЕРИТЬ, УДОСТОВЕРИТЬСЯ В ПРАВИЛЬНОСТИ
АУКАТЬСЯ	119699-V	ПРОЯВЛЕНИЕ СВОЙСТВ, СОСТОЯНИЙ
АУКАТЬСЯ	119115-V	СОДЕРЖАТЬСЯ, ЗАКЛЮЧАТЬСЯ ВНУТРИ
АУКАТЬСЯ	107093-V	ИЗДАТЬ ЗВУК
АУКАТЬСЯ	117948-V	УДАРИТЬ (РАЗДАТЬСЯ О РЕЗКОМ ЗВУКЕ)
АУКАТЬСЯ	119125-V	РАСПРОСТРАНИТЬСЯ, ПОЛУЧИТЬ РАСПРОСТРАНЕНИЕ
АУКАТЬСЯ	107153-V	ВОСКЛИКНУТЬ
АУКАТЬСЯ	107093-V	ИЗДАТЬ ЗВУК
АУКАТЬСЯ	106478-V	ПРОИЗОЙТИ, СЛУЧИТЬСЯ
АУКАТЬСЯ	119699-V	ПРОЯВЛЕНИЕ СВОЙСТВ, СОСТОЯНИЙ
АУКАТЬСЯ	115825-V	ДЫХАНИЕ, ДЫХАТЕЛЬНЫЙ ПРОЦЕСС
БЕРЕДИТЬ	106548-V	ПРИЧИНЕНИЕ ВРЕДА
БЕРЕДИТЬ	111037-V	ПЕРЕВЕРНУТЬ ПРОТИВОПОЛОЖНОЙ СТОРОНОЙ
БЕРЕДИТЬ	111596-V	ДВИГАТЬ (ПЕРЕМЕЩАТЬ)
БЕРЕДИТЬ	117696-V	УСПОКОИТЬ, ПРИВЕСТИ В СПОКОЙСТВИЕ
БЕРЕДИТЬ	149898-V	ВЫЗВАТЬ МЫСЛЬ, ЧУВСТВО
БЕРЕДИТЬ	110481-V	ТРЕВОЖИТЬ, ВЫЗЫВАТЬ ТРЕВОГУ
БЕРЕДИТЬ	115102-V	МУЧИТЬ
БЕРЕДИТЬ	114793-V	ПРИКОСНУТЬСЯ, СЛЕГКА ДОТРОНУТЬСЯ
БЕРЕДИТЬ	116230-V	ПРОЙТИ (ПРЕКРАТИТЬСЯ О ВРЕМЕНИ, ДЛЯЩЕМСЯ)
БЕРЕДИТЬ	111156-V	КАЧАТЬ (КОЛЕБАТЬ)
БИЧЕВАТЬ	112963-V	ОСУДИТЬ, ВЫРАЗИТЬ НЕОДОБРЕНИЕ
БИЧЕВАТЬ	115212-V	ПОЗОРИТЬ, ПОРОЧИТЬ
БИЧЕВАТЬ	107190-V	РУГАТЬ
БИЧЕВАТЬ	106877-V	ВЫСКАЗАТЬ МНЕНИЕ
БИЧЕВАТЬ	3980-V	СМЕРТНАЯ КАЗНЬ
БИЧЕВАТЬ	107190-V	РУГАТЬ
БИЧЕВАТЬ	115208-V	ОСКОРБИТЬ
БИЧЕВАТЬ	133925-V	ПОРТИТЬ РЕПУТАЦИЮ
БИЧЕВАТЬ	117047-V	ПРЕНЕБРЕЧЬ, ОТНЕСТИСЬ БЕЗ ВНИМАНИЯ
БИЧЕВАТЬ	111260-V	ПЛОХОЙ ПОСТУПОК
БЛОКИРОВАТЬСЯ	115394-V	ЗАКРЕПИТЬ (ПРИДЕЛАТЬ)
БЛОКИРОВАТЬСЯ	120503-V	СТОПОРИТЬ (ОСТАНОВИТЬ ДВИЖЕНИЕ)
БЛОКИРОВАТЬСЯ	116223-V	ЗАДЕРЖАТЬ, ПРЕПЯТСТВОВАТЬ ДВИЖЕНИЮ
БЛОКИРОВАТЬСЯ	119562-V	ПРЕГРАДИТЬ, МЕШАТЬ ДВИЖЕНИЮ
БЛОКИРОВАТЬСЯ	106533-V	ПРИОСТАНОВИТЬ
БЛОКИРОВАТЬСЯ	106704-V	МЕШАТЬ, СОЗДАВАТЬ ПРЕПЯТСТВИЕ
БЛОКИРОВАТЬСЯ	106882-V	ПРОТИВОДЕЙСТВОВАТЬ
БЛОКИРОВАТЬСЯ	106527-V	ЛИКВИДАЦИЯ, ПРЕКРАЩЕНИЕ ДЕЯТЕЛЬНОСТИ
БЛОКИРОВАТЬСЯ	106484-V	КОНЧИТЬСЯ, ПРЕКРАТИТЬСЯ
БЛОКИРОВАТЬСЯ	111667-V	ПРИСОЕДИНИТЬСЯ
БРЯЦАТЬ	111795-V	ЗВЕНЕТЬ
БРЯЦАТЬ	117968-V	ВОЗОМНИТЬ СЕБЯ
БРЯЦАТЬ	107404-V	УДАРИТЬ, НАНЕСТИ УДАР
БРЯЦАТЬ	107093-V	ИЗДАТЬ ЗВУК
БРЯЦАТЬ	120302-V	ХРАБРИТЬСЯ
БРЯЦАТЬ	125439-V	РИСОВКА, ПОЗЕРСТВО
БРЯЦАТЬ	111147-V	КОЛЕБАТЬ (ДВИГАТЬ)
БРЯЦАТЬ	107093-V	ИЗДАТЬ ЗВУК
БРЯЦАТЬ	117948-V	УДАРИТЬ (РАЗДАТЬСЯ О РЕЗКОМ ЗВУКЕ)
БРЯЦАТЬ	107140-V	ЛЬСТИТЬ, ХВАЛИТЬ ИЗ ЛЕСТИ
БУЛЬКАТЬ	106478-V	ПРОИЗОЙТИ, СЛУЧИТЬСЯ
БУЛЬКАТЬ	106457-V	ПОКАЗАТЬ, СДЕЛАТЬ ЯВНЫМ, ВИДИМЫМ
БУЛЬКАТЬ	113288-V	РОКОТАТЬ
БУЛЬКАТЬ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
БУЛЬКАТЬ	118140-V	БОЛТАТЬ, ЧЕСАТЬ ЯЗЫКОМ
БУЛЬКАТЬ	107093-V	ИЗДАТЬ ЗВУК
БУЛЬКАТЬ	113841-V	ВОРЧАТЬ (БОРМОТАТЬ)
БУЛЬКАТЬ	107093-V	ИЗДАТЬ ЗВУК
БУЛЬКАТЬ	115583-V	НАПОЛНИТЬСЯ
БУЛЬКАТЬ	119726-V	БУРЛИТЬ, КЛОКОТАТЬ
БУТИЛИРОВАТЬ	111435-V	НАСЫТИТЬ (НАПОЛНИТЬ В БОЛЬШОМ КОЛИЧЕСТВЕ)
БУТИЛИРОВАТЬ	124516-V	СЛОЖИТЬ (ПЕРЕГНУТЬ)
БУТИЛИРОВАТЬ	107325-V	ПОКРЫТЬ ПОВЕРХНОСТЬ
БУТИЛИРОВАТЬ	110908-V	УДАЛИТЬ НАРУЖУ
БУТИЛИРОВАТЬ	128431-V	ОБЕЗВРЕДИТЬ
БУТИЛИРОВАТЬ	114041-V	ПРОФИЛАКТИКА
БУТИЛИРОВАТЬ	115570-V	ОБОГАЩЕНИЕ МАТЕРИАЛА, ПРОДУКТА
БУТИЛИРОВАТЬ	107325-V	ПОКРЫТЬ ПОВЕРХНОСТЬ
БУТИЛИРОВАТЬ	106494-V	ВЫПОЛНИТЬ, ИСПОЛНИТЬ, ОСУЩЕСТВИТЬ
БУТИЛИРОВАТЬ	145128-V	ПЕРЕСМОТР СУДЕБНЫХ РЕШЕНИЙ
ВАЛЬСИРОВАТЬ	110443-V	ТАНЦЕВАТЬ
ВАЛЬСИРОВАТЬ	107470-V	ИДТИ НОГАМИ
ВАЛЬСИРОВАТЬ	120970-V	ПЕРЕСТУПИТЬ С НОГИ НА НОГУ
ВАЛЬСИРОВАТЬ	110440-V	ИСПОЛНИТЬ (ВОСПРОИЗВЕСТИ)
ВАЛЬСИРОВАТЬ	145703-V	ДЕЛАТЬ КРУГ (ПЕРЕМЕЩАТЬСЯ)
ВАЛЬСИРОВАТЬ	107513-V	КОЛЕБАТЕЛЬНОЕ ДВИЖЕНИЕ
ВАЛЬСИРОВАТЬ	117107-V	ШЕСТВОВАТЬ
ВАЛЬСИРОВАТЬ	120595-V	ПРОЛЕГАТЬ, ПРОХОДИТЬ
ВАЛЬСИРОВАТЬ	130051-V	ПРОТЕКАТЬ (ПРОТЯНУТЬСЯ)
ВАЛЬСИРОВАТЬ	114426-V	СОПРОТИВЛЯТЬСЯ
ВВЕРНУТЬ	110910-V	ВЫНУТЬ
ВВЕРНУТЬ	137195-V	ОТКРУТИТЬ (КРУТЯ, ОТДЕЛИТЬ)
ВВЕРНУТЬ	110807-V	ПРИВИНТИТЬ
ВВЕРНУТЬ	111048-V	ВИНТИТЬ, ПОВОРАЧИВАТЬ ВИНТ
ВВЕРНУТЬ	118109-V	НАДЕТЬ (УКРЕПИТЬ, ПРИКРЕПИТЬ ЧТО-Н НА ЧТО-Н.)
ВВЕРНУТЬ	120515-V	НАГОВОРИТЬ ЛИШНЕГО
ВВЕРНУТЬ	115035-V	ПРИВЕРНУТЬ (ПРИКРЕПИТЬ)
ВВЕРНУТЬ	117196-V	ЗАГНУТЬ (СОГНУТЬ)
ВВЕРНУТЬ	125781-V	ВЫВИХНУТЬ, СДЕЛАТЬ ВЫВИХ
ВВЕРНУТЬ	111191-V	ВСТАВИТЬ ВНУТРЬ
ВДУТЬ	110908-V	УДАЛИТЬ НАРУЖУ
ВДУТЬ	111189-V	ВВЕСТИ ВНУТРЬ
ВДУТЬ	107404-V	УДАРИТЬ, НАНЕСТИ УДАР
ВДУТЬ	107093-V	ИЗДАТЬ ЗВУК
ВДУТЬ	117948-V	УДАРИТЬ (РАЗДАТЬСЯ О РЕЗКОМ ЗВУКЕ)
ВДУТЬ	106932-V	ПИТЬ, ГЛОТАТЬ ЖИДКОСТЬ
ВДУТЬ	115221-V	ВОБРАТЬ В СЕБЯ
ВДУТЬ	115867-V	СОВАТЬ (ПОМЕЩАТЬ С ТРУДОМ ИЛИ НЕЗАМЕТНО)
ВДУТЬ	111022-V	БРОСИТЬ (ПЕРЕМЕСТИТЬ)
ВДУТЬ	121507-V	ХРЯСТНУТЬ (СИЛЬНО УДАРИТЬ)
ВЕТВИТЬСЯ	115786-V	НАХОДИТЬСЯ, ПРЕБЫВАТЬ
ВЕТВИТЬСЯ	114087-V	ЗАРАСТИ РАСТИТЕЛЬНОСТЬЮ
ВЕТВИТЬСЯ	106637-V	УМЕНЬШИТЬСЯ
ВЕТВИТЬСЯ	152477-V	СНИЖЕНИЕ МАССЫ
ВЕТВИТЬСЯ	106639-V	УВЕЛИЧИТЬСЯ
ВЕТВИТЬСЯ	106642-V	РАСШИРИТЬСЯ, СДЕЛАТЬСЯ БОЛЕЕ ШИРОКИМ
ВЕТВИТЬСЯ	114188-V	РОСТ ЖИВОГО ОРГАНИЗМА
ВЕТВИТЬСЯ	113780-V	ПОКРЫТЬСЯ НА ПОВЕРХНОСТИ
ВЕТВИТЬСЯ	115161-V	РАСПУСКАНИЕ ПОЧЕК
ВЕТВИТЬСЯ	125644-V	УПРОЧИТЬСЯ (СТАТЬ БОЛЕЕ ПРОЧНЫМ, СТАБИЛЬНЫМ)
ВЗДЫБИТЬСЯ	111087-V	ПРОГНУТЬСЯ ОТ ТЯЖЕСТИ
ВЗДЫБИТЬСЯ	119084-V	ИСКРИВИТЬСЯ, ПЕРЕКОСИТЬСЯ
ВЗДЫБИТЬСЯ	107094-V	ПРОИЗНЕСТИ, ВЫГОВОРИТЬ, ПРОГОВОРИТЬ
ВЗДЫБИТЬСЯ	106629-V	ИЗМЕНИТЬСЯ, ИЗМЕНЕНИЕ
ВЗДЫБИТЬСЯ	113962-V	ВОЙТИ ВНУТРЬ
ВЗДЫБИТЬСЯ	107447-V	ПАДАТЬ (ДВИГАТЬСЯ ВНИЗ)
ВЗДЫБИТЬСЯ	111104-V	ОХЛАДИТЬ, УМЕНЬШИТЬ ТЕМПЕРАТУРУ
ВЗДЫБИТЬСЯ	110416-V	ИЗМЕНЯТЬСЯ В ЦВЕТЕ
ВЗДЫБИТЬСЯ	120973-V	РАЗГНЕВАТЬСЯ
ВЗДЫБИТЬСЯ	116765-V	ПРОСЧИТАТЬСЯ, ДОПУСТИТЬ ПРОСЧЕТ
ВКАПЫВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
ВКАПЫВАТЬ	110751-V	НАПОЛНИТЬ
ВКАПЫВАТЬ	111413-V	ЗАЛИТЬ ЖИДКИМ
ВКАПЫВАТЬ	106772-V	УГЛУБИТЬ, УВЕЛИЧИТЬ ГЛУБИНУ (РАССТОЯНИЕ)
ВКАПЫВАТЬ	112004-V	РАЗБРОСАТЬ, РАСШВЫРЯТЬ
ВКАПЫВАТЬ	114793-V	ПРИКОСНУТЬСЯ, СЛЕГКА ДОТРОНУТЬСЯ
ВКАПЫВАТЬ	112355-V	ЗАСЫПАТЬ ДОВЕРХУ
ВКАПЫВАТЬ	111791-V	КОПАТЬ ЯМУ
ВКАПЫВАТЬ	115184-V	ВСКОПАТЬ
ВКАПЫВАТЬ	151674-V	ОБРАБОТКА ПОЧВЫ
ВКОПАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
ВКОПАТЬ	110751-V	НАПОЛНИТЬ
ВКОПАТЬ	111413-V	ЗАЛИТЬ ЖИДКИМ
ВКОПАТЬ	106772-V	УГЛУБИТЬ, УВЕЛИЧИТЬ ГЛУБИНУ (РАССТОЯНИЕ)
ВКОПАТЬ	112004-V	РАЗБРОСАТЬ, РАСШВЫРЯТЬ
ВКОПАТЬ	112355-V	ЗАСЫПАТЬ ДОВЕРХУ
ВКОПАТЬ	110916-V	ИЗВЛЕЧЬ, ДОСТАТЬ
ВКОПАТЬ	106698-V	ПОМЕСТИТЬ, НАЙТИ МЕСТО
ВКОПАТЬ	106631-V	ИЗМЕНИТЬ, СДЕЛАТЬ ИНЫМ
ВКОПАТЬ	118282-V	НАЙТИ, ОТЫСКАТЬ
ВМУРОВАТЬ	127204-V	ОБЛОЖИТЬ, ПОЛОЖИТЬ ВОКРУГ
ВМУРОВАТЬ	111191-V	ВСТАВИТЬ ВНУТРЬ
ВМУРОВАТЬ	115394-V	ЗАКРЕПИТЬ (ПРИДЕЛАТЬ)
ВМУРОВАТЬ	111050-V	ГНУТЬ, ИЗОГНУТЬ
ВМУРОВАТЬ	116661-V	ВДАВИТЬ ВНУТРЬ
ВМУРОВАТЬ	106501-V	ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ
ВМУРОВАТЬ	106494-V	ВЫПОЛНИТЬ, ИСПОЛНИТЬ, ОСУЩЕСТВИТЬ
ВМУРОВАТЬ	145128-V	ПЕРЕСМОТР СУДЕБНЫХ РЕШЕНИЙ
ВМУРОВАТЬ	111104-V	ОХЛАДИТЬ, УМЕНЬШИТЬ ТЕМПЕРАТУРУ
ВМУРОВАТЬ	115486-V	ВКЛЮЧИТЬ В СОСТАВ
ВОСПАРИТЬ	107453-V	ВЗЛЕТЕТЬ
ВОСПАРИТЬ	107253-V	ВООДУШЕВЛЕНИЕ, ПОДЪЕМ ДУХА
ВОСПАРИТЬ	107446-V	МЧАТЬСЯ
ВОСПАРИТЬ	107454-V	ПОДНЯТЬСЯ (ПЕРЕМЕСТИТЬСЯ ВВЕРХ)
ВОСПАРИТЬ	107454-V	ПОДНЯТЬСЯ (ПЕРЕМЕСТИТЬСЯ ВВЕРХ)
